,how_many,0.0,0.001,5.0,15.001
36241,1,0,0,1,0
36271,1,0,0,0,1
36279,4,0,0,0,1
36281,4,0,0,0,1
36288,1,0,0,0,1
36295,1,0,0,0,1
36298,10,0,0,0,1
36302,6,0,0,1,0
36305,4,0,0,1,0
36321,1,0,0,0,1
36333,2,0,0,0,1
36339,5,0,0,0,1
36355,8,0,0,0,1
36363,5,0,0,0,1
36379,12,0,0,0,0
36385,8,0,0,0,1
36400,7,0,0,0,1
36411,17,0,0,0,1
36417,12,0,0,0,1
36428,10,0,0,0,1
36437,10,0,0,0,1
36454,17,0,0,0,1
36463,7,0,0,0,1
36472,20,0,0,0,1
36481,10,0,0,0,1
36609,2,0,0,1,0
36638,1,0,0,1,0
36693,2,0,1,0,0
37120,5,0,0,0,1
37128,4,0,0,0,1
37135,6,0,0,0,1
37146,9,0,0,0,1
37154,7,0,0,0,1
37173,1,0,0,1,0
37201,2,1,0,0,0
37229,4,0,0,0,0
37247,40,0,0,0,0
37260,1,0,0,1,0
37354,20,1,0,0,0
37366,20,0,0,1,0
37369,25,0,0,1,0
37380,10,0,0,1,0
37384,40,0,0,1,0
37391,15,0,0,1,0
37392,20,0,0,0,1
37401,40,0,0,0,1
37410,6,0,0,0,1
37455,6,1,0,0,0
37467,4,1,0,0,0
37514,12,0,0,0,1
37519,11,0,0,0,1
37524,5,0,0,0,1
37528,28,0,0,0,1
37532,11,0,0,0,1
37538,16,0,0,0,1
37544,30,0,0,0,1
37932,3,0,0,0,1
37939,3,0,0,0,1
37965,6,0,0,0,1
37968,9,0,0,0,1
37988,11,0,0,0,1
37998,23,0,0,0,1
38011,17,0,0,0,1
38023,14,0,0,0,1
38045,14,0,0,0,1
38056,33,0,0,0,1
38063,32,0,0,0,1
38077,34,0,0,0,1
38098,39,0,0,0,1
38106,38,0,0,0,1
38129,30,0,0,0,1
38144,33,0,0,0,1
38161,25,0,0,0,1
38166,40,0,0,0,1
38181,25,0,0,1,0
38203,31,0,0,0,1
38219,54,0,1,0,0
38510,2,0,1,0,0
38523,3,0,0,0,1
38697,5,0,0,0,1
38707,15,0,0,0,1
38728,5,0,0,0,1
38740,2,0,0,0,1
38749,5,0,0,0,1
38771,1,0,0,0,1
38800,20,0,0,1,0
